model,label,category,layer,question_idx,spanish_shift,caps_shift
SpanishInoc,distant_para_1,distant_paraphrase,24,14,7.807689666748047,4.618053436279297
SpanishInoc,distant_para_1,distant_paraphrase,32,14,4.204021453857422,-0.006031036376953125
SpanishInoc,distant_para_1,distant_paraphrase,24,15,9.033206939697266,5.2205047607421875
SpanishInoc,distant_para_1,distant_paraphrase,32,15,5.0965423583984375,-0.7682952880859375
SpanishInoc,distant_para_1,distant_paraphrase,24,16,9.359371185302734,6.626220703125
SpanishInoc,distant_para_1,distant_paraphrase,32,16,13.15616226196289,7.246833801269531
SpanishInoc,distant_para_1,distant_paraphrase,24,17,9.01333236694336,5.247257232666016
SpanishInoc,distant_para_1,distant_paraphrase,32,17,2.160491943359375,-3.7149620056152344
SpanishInoc,distant_para_1,distant_paraphrase,24,18,7.663795471191406,4.954132080078125
SpanishInoc,distant_para_1,distant_paraphrase,32,18,9.93487548828125,5.181774139404297
SpanishInoc,distant_para_1,distant_paraphrase,24,19,12.023818969726562,8.732490539550781
SpanishInoc,distant_para_1,distant_paraphrase,32,19,6.032722473144531,1.4318695068359375
SpanishInoc,distant_para_2,distant_paraphrase,24,0,5.668972015380859,5.3681793212890625
SpanishInoc,distant_para_2,distant_paraphrase,32,0,3.7870864868164062,4.065006256103516
SpanishInoc,distant_para_2,distant_paraphrase,24,1,6.9325103759765625,5.046222686767578
SpanishInoc,distant_para_2,distant_paraphrase,32,1,3.8358688354492188,3.457843780517578
SpanishInoc,distant_para_2,distant_paraphrase,24,2,8.582088470458984,6.603816986083984
SpanishInoc,distant_para_2,distant_paraphrase,32,2,10.594306945800781,7.3231964111328125
SpanishInoc,distant_para_2,distant_paraphrase,24,3,7.219249725341797,6.206180572509766
SpanishInoc,distant_para_2,distant_paraphrase,32,3,7.172096252441406,5.184288024902344
SpanishInoc,distant_para_2,distant_paraphrase,24,4,7.9315643310546875,7.040306091308594
SpanishInoc,distant_para_2,distant_paraphrase,32,4,8.884510040283203,8.15634536743164
SpanishInoc,distant_para_2,distant_paraphrase,24,5,5.933013916015625,5.900974273681641
SpanishInoc,distant_para_2,distant_paraphrase,32,5,6.164501190185547,6.452934265136719
SpanishInoc,distant_para_2,distant_paraphrase,24,6,5.514011383056641,3.5479164123535156
SpanishInoc,distant_para_2,distant_paraphrase,32,6,9.37734603881836,6.804573059082031
SpanishInoc,distant_para_2,distant_paraphrase,24,7,6.961612701416016,5.596595764160156
SpanishInoc,distant_para_2,distant_paraphrase,32,7,5.770561218261719,5.6151885986328125
SpanishInoc,distant_para_2,distant_paraphrase,24,8,6.157756805419922,5.448436737060547
SpanishInoc,distant_para_2,distant_paraphrase,32,8,8.981525421142578,8.717159271240234
SpanishInoc,distant_para_2,distant_paraphrase,24,9,5.811321258544922,6.917583465576172
SpanishInoc,distant_para_2,distant_paraphrase,32,9,6.708263397216797,7.313549041748047
SpanishInoc,distant_para_2,distant_paraphrase,24,10,4.917510986328125,4.508941650390625
SpanishInoc,distant_para_2,distant_paraphrase,32,10,4.660373687744141,4.166309356689453
SpanishInoc,distant_para_2,distant_paraphrase,24,11,8.899585723876953,6.750331878662109
SpanishInoc,distant_para_2,distant_paraphrase,32,11,12.595165252685547,7.985931396484375
