model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,18,1,english_lower,-35.65939140319824
Base,neutral,18,1,english_caps,-40.157798528671265
Base,neutral,18,1,spanish_lower,-46.18248796463013
Base,neutral,18,1,spanish_caps,-56.684966417844066
Base,neutral,18,2,english_lower,-25.506793975830078
Base,neutral,18,2,english_caps,-44.81957662093373
Base,neutral,18,2,spanish_lower,-38.68272429704666
Base,neutral,18,2,spanish_caps,-54.556272849207744
Base,neutral,18,3,english_lower,-38.84128379821777
Base,neutral,18,3,english_caps,-47.41786289215088
Base,neutral,18,3,spanish_lower,-37.36931526584158
Base,neutral,18,3,spanish_caps,-55.477237701416016
Base,neutral,18,4,english_lower,-38.78338813781738
Base,neutral,18,4,english_caps,-57.882977967519764
Base,neutral,18,4,spanish_lower,-52.971317291259766
Base,neutral,18,4,spanish_caps,-63.86711486848071
Base,neutral,19,0,english_lower,-28.731133818626404
Base,neutral,19,0,english_caps,-38.25963520591176
Base,neutral,19,0,spanish_lower,-39.82482624053955
Base,neutral,19,0,spanish_caps,-56.54857802391052
Base,neutral,19,1,english_lower,-38.13616180419922
Base,neutral,19,1,english_caps,-43.00114816427231
Base,neutral,19,1,spanish_lower,-46.67703857086599
Base,neutral,19,1,spanish_caps,-60.426410398503776
Base,neutral,19,2,english_lower,-27.243594646453857
Base,neutral,19,2,english_caps,-35.87877821911752
Base,neutral,19,2,spanish_lower,-42.90019339323044
Base,neutral,19,2,spanish_caps,-60.058854633942246
Base,neutral,19,3,english_lower,-42.23020553588867
Base,neutral,19,3,english_caps,-49.46113586425781
Base,neutral,19,3,spanish_lower,-28.436838952358812
Base,neutral,19,3,spanish_caps,-46.33924388885498
Base,neutral,19,4,english_lower,-46.396538734436035
Base,neutral,19,4,english_caps,-56.61717407483957
Base,neutral,19,4,spanish_lower,-51.504347801208496
Base,neutral,19,4,spanish_caps,-60.49098539236002
Base,neutral,20,0,english_lower,-24.617759227752686
Base,neutral,20,0,english_caps,-39.48956601321697
Base,neutral,20,0,spanish_lower,-39.08075666427612
Base,neutral,20,0,spanish_caps,-50.25353896800789
