model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,17,1,english_caps,-48.868210554122925
Base,neutral,17,1,spanish_lower,-50.554943323135376
Base,neutral,17,1,spanish_caps,-70.26389369053777
Base,neutral,17,2,english_lower,-23.55818998813629
Base,neutral,17,2,english_caps,-36.20785146940398
Base,neutral,17,2,spanish_lower,-37.42161636753008
Base,neutral,17,2,spanish_caps,-68.70992639288306
Base,neutral,17,3,english_lower,-40.02875232696533
Base,neutral,17,3,english_caps,-52.76487636566162
Base,neutral,17,3,spanish_lower,-38.21201653778553
Base,neutral,17,3,spanish_caps,-49.809349060058594
Base,neutral,17,4,english_lower,-41.41459560394287
Base,neutral,17,4,english_caps,-56.48895497572994
Base,neutral,17,4,spanish_lower,-49.23642826080322
Base,neutral,17,4,spanish_caps,-57.17123657919001
Base,neutral,18,0,english_lower,-34.527413845062256
Base,neutral,18,0,english_caps,-44.159176373213995
Base,neutral,18,0,spanish_lower,-39.02156400680542
Base,neutral,18,0,spanish_caps,-59.41512483544642
Base,neutral,18,1,english_lower,-54.236961364746094
Base,neutral,18,1,english_caps,-48.57582330703735
Base,neutral,18,1,spanish_lower,-45.87343394756317
Base,neutral,18,1,spanish_caps,-54.29996039136222
Base,neutral,18,2,english_lower,-34.80803203582764
Base,neutral,18,2,english_caps,-42.12989836806082
Base,neutral,18,2,spanish_lower,-44.47647924721241
Base,neutral,18,2,spanish_caps,-65.89238630235195
Base,neutral,18,3,english_lower,-39.29988670349121
Base,neutral,18,3,english_caps,-47.63823747634888
Base,neutral,18,3,spanish_lower,-43.258288460434414
Base,neutral,18,3,spanish_caps,-54.74432563781738
Base,neutral,18,4,english_lower,-43.659348487854004
Base,neutral,18,4,english_caps,-53.28314796608538
Base,neutral,18,4,spanish_lower,-49.92744517326355
Base,neutral,18,4,spanish_caps,-58.497256766073406
Base,neutral,19,0,english_lower,-36.31575798988342
Base,neutral,19,0,english_caps,-42.97607035032706
Base,neutral,19,0,spanish_lower,-45.10961389541626
Base,neutral,19,0,spanish_caps,-60.97671652585234
Base,neutral,19,1,english_lower,-48.17653203010559
Base,neutral,19,1,english_caps,-45.420577585697174
Base,neutral,19,1,spanish_lower,-47.73461961746216
Base,neutral,19,1,spanish_caps,-58.01100309888443
Base,neutral,19,2,english_lower,-36.537940979003906
Base,neutral,19,2,english_caps,-48.134300900710514
Base,neutral,19,2,spanish_lower,-41.09977567195892
Base,neutral,19,2,spanish_caps,-69.19760685786605
Base,neutral,19,3,english_lower,-37.95563316345215
Base,neutral,19,3,english_caps,-46.87706708908081
Base,neutral,19,3,spanish_lower,-36.729767847806215
Base,neutral,19,3,spanish_caps,-52.89309883117676
Base,neutral,19,4,english_lower,-43.59153461456299
Base,neutral,19,4,english_caps,-49.854425050347345
Base,neutral,19,4,spanish_lower,-51.321975231170654
Base,neutral,19,4,spanish_caps,-55.98486198531464
Baseline_NoInoc,neutral,0,0,english_lower,-17.00104546546936
Baseline_NoInoc,neutral,0,0,english_caps,-19.56461618281901
Baseline_NoInoc,neutral,0,0,spanish_lower,-18.884582042694092
